iter	Passed	Remaining
0	3	1841
1	6	1597
2	9	1547
3	12	1543
4	15	1505
5	17	1474
6	20	1436
7	23	1427
8	26	1446
9	29	1447
10	32	1451
11	35	1454
12	38	1443
13	41	1434
14	44	1446
15	47	1427
16	50	1420
17	52	1411
18	55	1397
19	58	1407
20	61	1403
21	62	1364
22	65	1352
23	67	1344
24	70	1333
25	72	1323
26	75	1317
27	77	1313
28	80	1314
29	83	1306
30	85	1298
31	88	1293
32	91	1288
33	93	1280
34	96	1276
35	98	1270
36	101	1270
37	104	1264
38	106	1260
39	109	1254
40	111	1250
41	114	1245
42	116	1240
43	119	1235
44	121	1231
45	124	1225
46	126	1220
47	129	1220
48	132	1218
49	135	1215
50	137	1213
51	140	1211
52	143	1207
53	145	1204
54	148	1201
55	151	1199
56	153	1195
57	156	1192
58	159	1190
59	161	1187
60	164	1184
61	166	1179
62	169	1174
63	171	1170
64	174	1169
65	177	1164
66	179	1161
67	182	1157
68	184	1153
69	186	1148
70	189	1144
71	192	1143
72	195	1142
73	197	1139
74	200	1137
75	203	1134
76	206	1132
77	208	1130
78	211	1128
79	214	1124
80	216	1121
81	219	1117
82	221	1114
83	224	1110
84	227	1108
85	229	1106
86	233	1106
87	235	1104
88	238	1100
89	240	1097
90	243	1094
91	246	1093
92	249	1090
93	251	1086
94	254	1083
95	256	1079
96	258	1075
97	261	1071
98	263	1068
99	266	1064
100	268	1061
101	271	1059
102	274	1057
103	276	1054
104	279	1051
105	281	1047
106	284	1045
107	286	1041
108	289	1037
109	291	1034
110	294	1032
111	297	1029
112	299	1025
113	302	1022
114	304	1020
115	307	1017
116	310	1015
117	312	1012
118	315	1008
119	317	1006
120	320	1003
121	323	1000
122	325	998
123	328	994
124	330	991
125	333	989
126	335	986
127	338	983
128	340	980
129	343	978
130	346	975
131	348	972
132	351	969
133	353	966
134	356	963
135	358	960
136	361	957
137	363	954
138	366	952
139	369	950
140	372	948
141	374	945
142	377	941
143	379	938
144	382	936
145	385	934
146	388	932
147	390	928
148	393	925
149	395	923
150	398	921
151	401	918
152	403	915
153	406	913
154	408	910
155	411	907
156	414	904
157	416	902
158	419	900
159	422	898
160	425	895
161	427	892
162	430	889
163	432	886
164	435	884
165	438	882
166	441	880
167	444	877
168	446	874
169	449	872
170	452	869
171	454	867
172	457	864
173	459	861
174	462	859
175	465	856
176	467	853
177	470	851
178	473	848
179	476	846
180	478	843
181	481	840
182	483	837
183	486	835
184	489	833
185	491	830
186	494	827
187	497	824
188	499	822
189	502	819
190	504	816
191	507	813
192	509	811
193	512	809
194	515	806
195	518	803
196	520	800
197	523	798
198	526	796
199	529	794
200	532	792
201	535	789
202	538	787
203	540	784
204	543	782
205	546	779
206	548	776
207	551	774
208	554	771
209	557	769
210	559	766
211	562	764
212	565	761
213	567	758
214	570	756
215	573	754
216	576	751
217	578	748
218	581	746
219	583	743
220	586	740
221	589	737
222	591	735
223	594	732
224	597	730
225	600	727
226	602	724
227	605	722
228	607	719
229	610	717
230	613	714
231	616	711
232	618	709
233	621	706
234	624	704
235	627	701
236	630	699
237	632	696
238	635	694
239	638	691
240	641	689
241	644	687
242	646	684
243	649	681
244	652	678
245	654	676
246	657	673
247	660	671
248	663	668
249	665	665
250	668	662
251	670	660
252	673	657
253	676	655
254	679	652
255	681	649
256	684	647
257	687	644
258	690	642
259	692	639
260	695	636
261	697	633
262	700	631
263	703	628
264	705	626
265	708	623
266	711	620
267	713	617
268	716	615
269	719	612
270	721	609
271	724	606
272	726	604
273	729	601
274	732	599
275	735	596
276	738	594
277	740	591
278	743	589
279	746	586
280	748	583
281	751	580
282	754	578
283	757	575
284	759	573
285	762	570
286	765	567
287	767	565
288	770	562
289	772	559
290	775	556
291	777	554
292	780	551
293	783	548
294	785	545
295	788	543
296	790	540
297	793	537
298	795	534
299	797	531
300	800	529
301	803	526
302	805	523
303	807	520
304	810	518
305	813	515
306	815	512
307	818	510
308	820	507
